control_number,n_lines,n_taxa,n_class,n_species,qty_total,value_total,value_missing,taxa,country_origin,country_imp_exp,port,purpose,source,year,month,target
2000697881,1,1,0,1,30852,1785,0,shell,ID,HK,BO,T,W,2000,1,0
2000697900,2,1,0,1,13141,232086,0,shell,JP,TW,BO,T,W,2000,1,0
2000697902,2,1,0,1,22932,1834,0,shell,ID,HK,BO,T,W,2000,1,0
2000697909,1,1,0,1,1400,10416,0,shell,JP,LK,BO,T,W,2000,1,0
2000697928,1,1,1,1,5000,7250,0,shell,CN,HK,HA,T,W,2000,1,0
2000698059,1,1,0,1,5211,140,0,shell,ID,HK,BO,T,W,2000,1,0
2000698099,2,1,1,2,2,100,0,mammal,ES,ES,HN,non-standard value,W,2000,1,0
2000698122,1,1,1,1,1,1475,0,mammal,CA,CA,HN,non-standard value,W,2000,1,0
2000698372,2,1,1,2,2,100,0,mammal,ZW,ZW,HN,non-standard value,W,2000,1,0
2000698511,1,1,1,1,2,400,0,mammal,CA,CA,BN,non-standard value,W,2000,1,0
2000698566,2,1,1,2,5,618,0,mammal,CA,CA,BN,T,W,2000,1,0
2000698724,1,1,1,1,1,1500,0,bird,SA,CA,BN,non-standard value,F,2000,1,0
2000698836,2,1,1,2,2,0,0,mammal,CA,CA,BN,non-standard value,W,2000,1,0
2000699035,1,1,1,1,648000,5190,0,shell,BB,KR,NW,T,W,2000,1,0
2000699202,2,1,1,2,27,0,0,bird,MX,MX,NG,non-standard value,W,2000,1,1
2000699230,2,1,1,1,9592,182552,0,mammal,US,IT,NW,T,W,2000,1,0
2000699264,1,1,1,1,10,1000,0,mammal,FR,FR,NW,T,C,2000,1,0
2000699288,1,1,1,1,1,10058,0,shell,ID,CH,NW,T,W,2000,1,0
2000699295,1,1,1,1,6996,64667,0,reptile,CN,CN,NW,T,W,2000,1,0
2000699576,2,1,1,2,2,200,0,bird,MK,MK,NY,P,W,2000,1,1
2000699799,3,1,1,1,4,1868,0,mammal,AR,AR,NY,T,W,2000,1,1
2000700119,2,2,2,2,24,1688,0,bird,ZA,CH,HA,T,C,2000,1,0
2000700268,1,1,1,1,113,931,0,fish,MH,MH,HA,T,W,2000,1,0
2000700299,1,1,1,1,13,42,0,shell,XX,HK,AN,T,W,2000,1,1
2000701018,1,1,1,1,1,0,0,reptile,XX,FR,CH,P,W,2000,1,1
2000701356,1,1,1,1,13,65,0,reptile,XX,IT,NY,T,W,2000,1,1
2000701546,1,1,1,1,1,50,0,mammal,ES,ES,HN,non-standard value,W,2000,1,0
2000701719,1,1,1,1,354,312,0,amphibian,DO,DO,NW,T,W,2000,1,0
2000701723,1,1,1,1,3785,998,0,fish,TW,TW,NW,T,W,2000,1,0
2000701755,1,1,1,1,570,4136,0,shell,AU,GB,NW,T,W,2000,1,0
2000701807,1,1,1,1,85,8950,0,reptile,ID,CH,NW,T,W,2000,1,0
2000701834,1,1,1,1,948,237,0,amphibian,DO,DO,NW,T,C,2000,1,0
2000701842,1,0,0,0,1,0,0,,HU,HU,NW,non-standard value,W,2000,1,0
2000701844,1,1,1,1,107528,2146,0,shell,IN,IN,NW,T,W,2000,1,0
2000701897,1,1,1,1,2004,8943,0,bird,ZA,IT,NW,T,C,2000,1,0
2000701941,1,1,1,1,1903,7200,0,bird,TH,TH,NW,T,C,2000,2,0
2000701955,1,1,1,1,1,20,0,mammal,AU,AU,NW,T,W,2000,1,0
2000702027,1,1,1,1,2300,381,0,bird,PH,PH,HA,T,W,2000,1,0
2000702104,1,1,0,1,6,760,0,fish,AU,AU,HA,T,W,2000,1,0
2000702108,1,1,0,1,100,60,0,shell,PH,PH,HA,T,W,2000,1,0
2000702295,1,1,1,1,186,694,0,fish,KI,KI,HA,T,W,2000,1,0
2000702299,1,1,1,1,646,2353,0,fish,KI,KI,HA,T,W,2000,1,0
2000702301,1,1,1,1,670,1819,0,fish,CX,CX,HA,T,W,2000,1,0
2000702513,3,1,1,3,3,6700,0,mammal,ZA,ZA,DF,non-standard value,W,2000,1,0
2000703102,1,1,1,1,66450,479,0,fish,TT,TT,CH,T,W,2000,1,0
2000703106,14,3,2,14,1126,2352,0,coral,ID,ID,CH,T,W,2000,1,0
2000703662,1,1,0,1,1125,1956,0,fish,MX,MX,SY,T,W,2000,1,0
2000704176,1,1,1,1,23,46,0,reptile,XX,XX,MI,P,W,2000,2,1
2000704228,1,1,1,1,1,50,0,mammal,XX,XX,HN,P,W,2000,2,1
2000704233,1,1,1,1,24,10,0,reptile,XX,XX,HN,P,W,2000,2,1
2000704318,1,1,1,1,99,99,0,coral,TO,TO,HA,T,W,2000,2,1
2000704408,1,1,1,1,1,500,0,mammal,CA,CA,DF,non-standard value,W,2000,1,0
2000704649,1,1,0,1,2,175,0,other,MX,MX,6,P,U,2000,2,1
2000704823,1,1,1,1,2,110,0,reptile,MX,MX,6,P,U,2000,2,1
2000704933,1,1,1,1,2,0,0,reptile,MX,MX,EL,P,W,2000,1,1
2000704936,1,1,1,1,2,0,0,reptile,MX,MX,EL,P,W,2000,2,1
2000704937,1,1,1,1,2,0,0,reptile,MX,MX,EL,P,W,2000,2,1
2000704944,1,1,1,1,1,0,0,mammal,XX,MX,EL,P,W,2000,1,1
2000705750,1,1,1,1,2,150,0,reptile,XX,MX,CH,P,W,2000,2,1
2000705751,1,1,1,1,2,150,0,reptile,XX,MX,CH,P,W,2000,2,1
2000705943,2,2,2,2,6,772,0,mammal,ZW,ZW,DF,T,R,2000,2,1
2000706902,3,1,1,3,3,150,0,mammal,ES,ES,HN,P,W,2000,1,0
2000706999,4,1,1,4,6,300,0,mammal,ZA,ZA,HN,H,W,2000,2,0
2000707014,1,1,1,1,1,50,0,mammal,BW,BW,HN,H,W,2000,2,0
2000707033,7,1,1,7,8,400,0,mammal,ZM,ZM,HN,H,W,2000,2,0
2000707383,2,1,1,1,15,625,0,reptile,MX,MX,SF,P,W,2000,1,1
2000707503,1,1,0,1,8,1,0,shell,XX,HK,AN,T,W,2000,2,1
2000707506,1,1,1,1,10000,1760,0,mammal,XX,CN,AN,T,W,2000,2,1
2000707801,1,1,1,1,13,0,0,coral,KY,KY,TP,P,W,2000,2,1
2000707903,1,1,1,1,1,0,0,bird,IT,IT,MI,P,W,2000,2,1
2000708052,1,1,1,1,1,7322,0,mammal,XX,GB,HN,P,,2000,2,0
2000708316,1,1,1,1,2,0,0,reptile,XX,XX,HA,S,W,2000,2,1
2000709350,12,1,1,11,22,950,0,mammal,ZW,ZW,HN,H,W,2000,3,0
2000710993,1,1,1,1,60,0,0,bird,MX,MX,NG,non-standard value,W,2000,2,1
2000710998,1,1,1,1,1,0,0,mammal,MX,MX,NG,non-standard value,W,2000,3,1
2000711374,1,1,1,1,136,90,0,amphibian,DO,DO,NW,T,W,2000,3,1
2000713417,4,1,1,4,4,20,0,shell,MX,MX,non-standard value,P,W,2000,1,1
2000713679,1,1,1,1,1640,194854,0,fish,KZ,KZ,NY,T,W,2000,3,1
2000714161,1,1,1,1,208,20,0,reptile,CN,CN,HA,non-standard value,W,2000,3,1
2000714814,1,1,1,1,1,10,0,coral,MH,MH,HA,P,W,2000,3,1
2000715215,1,1,1,1,1,0,0,mammal,XX,CA,SE,non-standard value,W,2000,3,1
2000715224,8,2,2,5,35,8182,0,mammal,XX,DE,NY,T,C,2000,3,1
2000716035,1,1,1,1,68,0,0,mammal,US,CA,AN,T,W,2000,1,0
